precinct_id,district_id,total,white,black,asian,hispanic,other,GEOID,democratic_votes,republican_votes,total_votes,district,representative,party,incumbent_race,margin
1136,1,1244,1021,1,17,153,52,41067-328,398,487,923,1,Suzanne Bonamici,Democrat,White,0.58
1137,1,2050,851,27,167,910,95,41067-357,531,256,807,1,Suzanne Bonamici,Democrat,White,0.58
1138,1,817,680,0,16,60,61,41067-311,291,359,681,1,Suzanne Bonamici,Democrat,White,0.58
1139,1,383,132,36,79,106,30,41067-446,66,36,106,1,Suzanne Bonamici,Democrat,White,0.58
1140,1,328,212,0,15,86,15,41067-317,77,83,167,1,Suzanne Bonamici,Democrat,White,0.58
1141,1,4599,2082,164,1628,471,254,41067-359,1663,551,2312,1,Suzanne Bonamici,Democrat,White,0.58
1142,1,4821,2625,249,642,872,433,41067-361,1558,412,2046,1,Suzanne Bonamici,Democrat,White,0.58
1143,1,4752,2178,178,1602,530,264,41067-331,1678,608,2383,1,Suzanne Bonamici,Democrat,White,0.58
1144,1,7123,3496,303,813,1989,522,41067-351,2062,953,3158,1,Suzanne Bonamici,Democrat,White,0.58
1145,6,5820,3857,147,382,976,458,41067-400,2400,954,3485,6,Andrea Salinas,Democrat,Hispanic,0.55
1146,1,2418,1640,34,398,184,162,41067-376,1199,492,1764,1,Suzanne Bonamici,Democrat,White,0.58
1147,6,49,37,0,3,8,1,41067-348,16,8,26,6,Andrea Salinas,Democrat,Hispanic,0.55
1148,1,5543,3669,31,1345,203,295,41067-364,3215,997,4432,1,Suzanne Bonamici,Democrat,White,0.58
