precinct_id,district_id,total,white,black,asian,hispanic,other,GEOID,democratic_votes,republican_votes,total_votes,district,representative,party,incumbent_race,margin
936,3,9150,4359,1021,1028,1964,778,41051-4909,2264,1221,3602,3,Maxine Dexter,Democrat,White,0.71
937,3,8880,6529,195,327,1198,631,41051-5008,2503,2513,5196,3,Maxine Dexter,Democrat,White,0.71
938,3,10999,7176,296,378,2318,831,41051-5007,2896,2367,5480,3,Maxine Dexter,Democrat,White,0.71
939,3,9972,6858,375,567,1425,747,41051-5005,3012,1986,5210,3,Maxine Dexter,Democrat,White,0.71
940,3,10216,5962,577,1582,1323,772,41051-4806,2935,1807,4941,3,Maxine Dexter,Democrat,White,0.71
941,3,9629,5550,543,1740,1203,593,41051-4804,2685,1643,4520,3,Maxine Dexter,Democrat,White,0.71
942,3,768,302,51,110,228,77,41051-4805,117,93,217,3,Maxine Dexter,Democrat,White,0.71
943,3,0,0,0,0,0,0,41051-4809,1,7,10,3,Maxine Dexter,Democrat,White,0.71
944,3,9512,5471,532,1567,1264,678,41051-4802,2807,1297,4296,3,Maxine Dexter,Democrat,White,0.71
945,3,684,351,112,45,121,55,41051-4910,144,86,240,3,Maxine Dexter,Democrat,White,0.71
946,3,856,445,38,131,181,61,41051-5003,196,130,350,3,Maxine Dexter,Democrat,White,0.71
947,3,289,155,21,22,69,22,41051-5001,45,45,94,3,Maxine Dexter,Democrat,White,0.71
948,3,1281,692,58,296,154,81,41051-4801,381,166,573,3,Maxine Dexter,Democrat,White,0.71
949,3,6904,3665,543,1209,984,503,41051-4803,1495,970,2553,3,Maxine Dexter,Democrat,White,0.71
950,5,8898,5099,369,1432,1277,721,41051-4605,3353,986,4570,5,Janelle Bynum,Democrat,Black,0.51
951,3,87,49,0,11,11,16,41051-4608,24,14,41,3,Maxine Dexter,Democrat,White,0.71
952,3,11721,6744,1313,1191,1579,894,41051-4508,3840,1367,5439,3,Maxine Dexter,Democrat,White,0.71
953,1,2343,2002,8,61,117,155,41051-3101,1208,570,1851,1,Suzanne Bonamici,Democrat,White,0.58
954,1,1330,1065,11,86,80,88,41051-3301,835,217,1096,1,Suzanne Bonamici,Democrat,White,0.58
955,1,147,123,0,11,6,7,41051-3402,113,21,143,1,Suzanne Bonamici,Democrat,White,0.58
956,1,9380,7105,119,1121,518,517,41051-3304,6291,802,7338,1,Suzanne Bonamici,Democrat,White,0.58
957,3,1479,839,196,238,109,97,41051-4509,570,224,832,3,Maxine Dexter,Democrat,White,0.71
958,3,0,0,0,0,0,0,41051-4504,418,84,525,3,Maxine Dexter,Democrat,White,0.71
959,5,8586,6135,185,765,883,618,41051-4604,4747,973,5998,5,Janelle Bynum,Democrat,Black,0.51
960,3,7120,3823,405,1124,1144,624,41051-4607,2386,731,3293,3,Maxine Dexter,Democrat,White,0.71
961,3,9266,4918,531,2185,924,708,41051-4606,3282,1041,4524,3,Maxine Dexter,Democrat,White,0.71
962,3,10194,7009,575,991,882,737,41051-4503,5763,970,7047,3,Maxine Dexter,Democrat,White,0.71
963,3,10308,7454,435,781,807,831,41051-4506,6085,767,7183,3,Maxine Dexter,Democrat,White,0.71
964,3,729,365,57,134,102,71,41051-4507,214,67,289,3,Maxine Dexter,Democrat,White,0.71
965,3,3447,2522,186,221,284,234,41051-4505,1902,211,2232,3,Maxine Dexter,Democrat,White,0.71
966,3,8142,5874,173,819,666,610,41051-4602,4877,583,5727,3,Maxine Dexter,Democrat,White,0.71
967,3,5808,4243,107,520,496,442,41051-4603,3305,490,4025,3,Maxine Dexter,Democrat,White,0.71
968,3,9290,7704,188,382,441,575,41051-4501,7514,578,8373,3,Maxine Dexter,Democrat,White,0.71
969,3,10089,7802,320,624,600,743,41051-4502,6705,624,7633,3,Maxine Dexter,Democrat,White,0.71
970,3,8807,6402,263,872,643,627,41051-4601,5512,568,6302,3,Maxine Dexter,Democrat,White,0.71
971,1,10710,8435,240,544,765,726,41051-3302,6061,521,6899,1,Suzanne Bonamici,Democrat,White,0.58
972,1,44,29,0,0,2,13,41051-3305,25,7,32,1,Suzanne Bonamici,Democrat,White,0.58
973,1,1180,998,10,65,50,57,41051-2802,839,151,1040,1,Suzanne Bonamici,Democrat,White,0.58
974,1,8180,6612,110,431,453,574,41051-2804,5378,687,6292,1,Suzanne Bonamici,Democrat,White,0.58
975,1,9234,7729,107,412,420,566,41051-2805,6549,898,7715,1,Suzanne Bonamici,Democrat,White,0.58
976,1,5616,3744,197,692,535,448,41051-2803,2112,180,2405,1,Suzanne Bonamici,Democrat,White,0.58
977,1,9413,7418,168,581,586,660,41051-2801,6032,592,6898,1,Suzanne Bonamici,Democrat,White,0.58
978,3,4652,3435,194,135,458,430,41051-3308,2638,300,3115,3,Maxine Dexter,Democrat,White,0.71
979,1,13598,9319,705,1220,1226,1128,41051-3303,5414,578,6287,1,Suzanne Bonamici,Democrat,White,0.58
980,1,11050,7743,557,763,1034,953,41051-3306,4704,497,5407,1,Suzanne Bonamici,Democrat,White,0.58
981,1,10552,8263,272,441,760,816,41051-2806,6749,747,7757,1,Suzanne Bonamici,Democrat,White,0.58
982,1,8121,5890,229,791,629,582,41051-3307,4217,360,4737,1,Suzanne Bonamici,Democrat,White,0.58
983,1,877,587,19,158,50,63,41051-3401,557,86,660,1,Suzanne Bonamici,Democrat,White,0.58
984,6,1689,1469,3,15,89,113,41053-102,446,861,1347,6,Andrea Salinas,Democrat,Hispanic,0.55
985,6,1582,1294,1,19,108,160,41053-106,328,729,1086,6,Andrea Salinas,Democrat,Hispanic,0.55
986,6,1370,851,7,9,70,433,41053-110,249,437,713,6,Andrea Salinas,Democrat,Hispanic,0.55
987,6,3604,3021,6,56,298,223,41053-118,1245,1706,3068,6,Andrea Salinas,Democrat,Hispanic,0.55
988,6,1680,1325,13,30,162,150,41053-122,543,615,1185,6,Andrea Salinas,Democrat,Hispanic,0.55
989,6,6519,5148,49,190,700,432,41053-134,2577,2176,4931,6,Andrea Salinas,Democrat,Hispanic,0.55
990,6,4632,3592,40,234,450,316,41053-136,1968,1552,3649,6,Andrea Salinas,Democrat,Hispanic,0.55
991,6,6237,4365,100,126,1133,513,41053-140,1885,1337,3368,6,Andrea Salinas,Democrat,Hispanic,0.55
992,6,5039,3990,71,206,493,279,41053-146,2259,1577,3977,6,Andrea Salinas,Democrat,Hispanic,0.55
993,6,4968,4324,5,36,250,353,41053-152,1357,2829,4317,6,Andrea Salinas,Democrat,Hispanic,0.55
994,6,5872,4975,26,54,380,437,41053-154,1805,2654,4617,6,Andrea Salinas,Democrat,Hispanic,0.55
995,6,3953,3277,14,40,270,352,41053-156,1056,1441,2619,6,Andrea Salinas,Democrat,Hispanic,0.55
996,6,3382,2997,6,58,166,155,41053-162,1089,1708,2897,6,Andrea Salinas,Democrat,Hispanic,0.55
997,6,1084,903,3,8,48,122,41053-166,281,434,756,6,Andrea Salinas,Democrat,Hispanic,0.55
998,6,8855,6392,95,262,1416,690,41053-178,2512,1825,4569,6,Andrea Salinas,Democrat,Hispanic,0.55
999,6,7186,4460,50,67,2104,505,41053-182,2434,1887,4494,6,Andrea Salinas,Democrat,Hispanic,0.55
1000,2,279,213,0,4,47,15,41055-1,36,156,200,2,Cliff Bentz,Republican,White,0.62
1001,2,523,470,0,3,21,29,41055-2,71,298,382,2,Cliff Bentz,Republican,White,0.62
1002,2,404,369,0,0,13,22,41055-3,89,232,337,2,Cliff Bentz,Republican,White,0.62
1003,2,215,191,0,0,9,15,41055-4,32,148,181,2,Cliff Bentz,Republican,White,0.62
1004,2,87,82,0,0,2,3,41055-5,5,56,63,2,Cliff Bentz,Republican,White,0.62
1005,1,575,426,1,10,95,43,41057-TILLAMOOK #2,163,167,338,1,Suzanne Bonamici,Democrat,White,0.58
1006,1,364,267,0,1,56,40,41057-CLOVERDALE,123,197,322,1,Suzanne Bonamici,Democrat,White,0.58
1007,1,542,391,1,8,91,51,41057-TILLAMOOK #3,138,161,320,1,Suzanne Bonamici,Democrat,White,0.58
1008,1,654,526,2,10,71,45,41057-TILLAMOOK #1,184,225,432,1,Suzanne Bonamici,Democrat,White,0.58
1009,1,953,859,3,11,36,44,41057-NETARTS,447,335,814,1,Suzanne Bonamici,Democrat,White,0.58
1010,1,301,259,2,7,15,18,41057-OCEANSIDE,198,87,302,1,Suzanne Bonamici,Democrat,White,0.58
1011,1,1508,1345,3,22,60,78,41057-UNION,576,448,1064,1,Suzanne Bonamici,Democrat,White,0.58
1012,1,589,493,0,3,48,45,41057-SOUTH PRAIRIE EAST,77,332,416,1,Suzanne Bonamici,Democrat,White,0.58
1013,1,619,542,1,5,31,40,41057-KILCHIS,166,315,499,1,Suzanne Bonamici,Democrat,White,0.58
1014,1,1453,1288,2,21,42,100,41057-ROCKAWAY,670,495,1212,1,Suzanne Bonamici,Democrat,White,0.58
1015,1,411,318,1,4,65,23,41057-MAPLELEAF,138,319,463,1,Suzanne Bonamici,Democrat,White,0.58
1016,1,1590,1349,4,22,107,108,41057-BAY,489,489,1019,1,Suzanne Bonamici,Democrat,White,0.58
1017,1,1049,901,5,12,51,80,41057-GARIBALDI,364,369,759,1,Suzanne Bonamici,Democrat,White,0.58
1018,1,520,463,1,4,18,34,41057-WHEELER,284,119,414,1,Suzanne Bonamici,Democrat,White,0.58
1019,1,436,364,0,12,40,20,41057-TILLAMOOK #4,145,190,341,1,Suzanne Bonamici,Democrat,White,0.58
1020,1,324,234,1,0,57,32,41057-TRASK,70,140,218,1,Suzanne Bonamici,Democrat,White,0.58
1021,1,675,557,5,5,62,46,41057-SOUTH PRAIRIE WEST,115,322,446,1,Suzanne Bonamici,Democrat,White,0.58
1022,1,166,124,0,2,38,2,41057-EASTSIDE,62,93,159,1,Suzanne Bonamici,Democrat,White,0.58
1023,1,760,539,1,4,150,66,41057-TILLAMOOK #5,133,176,324,1,Suzanne Bonamici,Democrat,White,0.58
1024,1,902,665,2,8,159,68,41057-TILLAMOOK #6,115,176,301,1,Suzanne Bonamici,Democrat,White,0.58
