precinct_id,total,white,black,asian,hispanic,other
207,1447,549,810,12,28,48
208,1008,350,600,5,20,33
209,612,178,414,0,5,15
210,531,283,214,0,13,21
211,774,708,22,4,18,22
212,967,289,638,2,13,25
213,1023,903,89,2,9,20
214,622,347,217,0,32,26
215,1278,722,514,9,23,10
216,1431,544,799,3,34,51
217,636,432,163,1,12,28
218,1031,609,359,10,24,29
219,1234,532,571,9,82,40
220,1224,930,173,13,44,64
221,1548,1284,126,16,46,76
222,1789,1487,96,21,150,35
223,544,500,22,9,7,6
224,1038,675,65,18,223,57
225,1283,857,83,12,297,34
226,1744,1108,87,25,455,69
227,1137,556,162,11,374,34
228,1794,1151,125,15,457,46
229,1724,1089,157,37,367,74
230,1003,744,66,16,146,31
231,873,647,88,6,114,18
232,2214,857,478,20,796,63
233,1112,984,23,9,68,28
234,1233,1162,25,12,22,12
235,1054,878,36,56,62,22
236,1638,1484,39,15,60,40
237,912,773,48,24,45,22
238,778,652,40,15,53,18
239,1142,899,61,32,96,54
240,1438,1074,123,21,153,67
241,1089,577,174,13,291,34
242,849,727,13,3,88,18
243,1651,817,79,19,703,33
244,1067,894,49,21,65,38
245,1115,948,49,21,69,28
246,1948,1536,85,11,247,69
247,299,274,9,0,12,4
248,616,548,10,1,41,16
249,1211,749,255,39,118,50
250,1623,433,892,20,210,68
251,1140,907,67,6,126,34
252,2170,1266,328,52,389,135
253,1212,769,171,27,188,57
254,943,748,92,13,57,33
255,1157,876,118,51,64,48
256,995,737,153,25,48,32
257,1529,785,381,42,221,100
258,2766,1364,513,88,719,82
259,1067,416,477,5,115,54
260,5236,3266,759,122,899,190
261,1619,759,518,19,239,84
262,754,742,4,2,6,0
263,1105,897,67,19,73,49
264,854,722,70,7,29,26
265,1133,355,718,6,33,21
266,493,456,11,5,2,19
267,916,691,99,10,93,23
268,1370,1310,4,13,21,22
269,831,531,39,10,237,14
270,1104,980,21,8,63,32
271,975,929,10,4,9,23
272,549,530,4,3,4,8
273,887,847,4,10,8,18
274,1699,1039,137,18,456,49
275,1612,991,290,7,281,43
276,1746,1198,140,2,350,56
277,1587,660,169,5,705,48
278,674,597,22,7,21,27
279,1158,374,315,14,425,30
280,922,880,15,6,20,1
281,815,778,2,4,14,17
282,826,792,3,5,13,13
283,1246,1154,23,16,22,31
