precinct_id,GEOID,democratic_votes,republican_votes,total_votes
702,45025-Pageland No. 2,412,643,1070
703,45025-Patrick,132,315,456
704,45025-Pee Dee,35,180,215
705,45025-Ruby,249,505,762
706,45025-Shiloh,125,367,494
707,45025-Snow Hill-Vaughn,77,301,378
708,45027-Alcolu,286,315,607
709,45027-Barrineau,43,357,404
710,45027-Barrows Mill,23,92,115
711,45027-Bloomville,102,229,334
712,45027-Calvary,246,94,346
713,45027-Davis Station,528,847,1387
714,45027-Harmony,210,294,510
715,45027-Hicks,72,431,508
716,45027-Home Branch,32,201,236
717,45027-Jordan,565,1550,2130
718,45027-Manning No. 1,287,169,461
719,45027-Manning No. 2,353,300,656
720,45027-Manning No. 3,433,679,1122
721,45027-Manning No. 4,782,186,982
722,45027-Manning No. 5,377,306,701
723,45027-New Zion,112,231,346
724,45027-Oakdale,69,136,208
725,45027-Panola,106,55,162
726,45027-Paxville,383,292,689
727,45027-Sardinia-Gable,124,78,204
728,45027-Summerton No. 1,590,1092,1708
729,45027-Summerton No. 2,207,60,270
730,45027-Summerton No. 3,480,155,643
731,45027-Turbeville,168,559,736
732,45027-Wilson-Foreston,486,357,855
733,45029-Ashton-Lodge,72,263,344
734,45029-Bells,65,147,213
735,45029-Berea-Smoaks,297,292,593
736,45029-Canadys,175,241,423
737,45029-Cottageville,365,798,1177
738,45029-Edisto,114,89,206
739,45029-Edisto Beach,283,690,982
740,45029-Green Pond,412,194,615
741,45029-Hendersonville,410,316,734
742,45029-Horse Pen,140,284,426
743,45029-Hudson Mill,118,297,419
744,45029-Jacksonboro,162,69,233
745,45029-Maple Cane,134,619,756
746,45029-Mashawville,270,285,560
747,45029-Peeples,280,457,746
748,45029-Peniel,257,341,604
749,45029-Petits,69,125,197
750,45029-Rice Patch,156,313,473
751,45029-Ritter,290,162,455
752,45029-Round O,226,485,717
753,45029-Ruffin,83,96,181
754,45029-Sidneys,94,350,448
755,45029-Sniders,123,367,496
756,45029-Stokes,107,380,490
757,45029-Walterboro No. 1,448,431,892
758,45029-Walterboro No. 2,370,270,649
759,45029-Walterboro No. 3,643,194,846
760,45029-Walterboro No. 4,377,611,1007
761,45029-Walterboro No. 5,359,780,1148
762,45029-Walterboro No. 6,353,353,720
763,45029-Williams,70,133,206
764,45029-Wolfe Creek,46,257,305
765,45031-Antioch,397,803,1212
766,45031-Auburn,300,101,412
767,45031-Bethel,177,283,463
768,45031-Black Creek-Clyde,203,670,883
769,45031-Burnt Branch,155,365,523
770,45031-Darlington No. 1,95,78,176
771,45031-Darlington No. 2,545,331,883
772,45031-Darlington No. 3,795,1194,2008
773,45031-Darlington No. 4,563,342,912
774,45031-Darlington No. 5,769,155,933
775,45031-Darlington No. 6,425,622,1060
776,45031-Dovesville,547,409,968
777,45031-Hartsville No. 1,327,608,950
778,45031-Hartsville No. 4,321,166,498
779,45031-Hartsville No. 5,719,992,1730
780,45031-Hartsville No. 6,737,33,783
781,45031-Hartsville No. 7,270,330,604
782,45031-Hartsville No. 8,421,1569,2009
783,45031-Hartsville No. 9,440,724,1180
784,45031-High Hill,882,987,1887
785,45031-Indian Branch,121,338,464
786,45031-Kelleytown,334,1139,1494
787,45031-Lake Swamp,380,604,994
788,45031-Lamar No. 1,346,225,575
789,45031-Lamar No. 2,392,717,1117
790,45031-Lydia,268,188,461
791,45031-Mechanicsville,553,625,1192
792,45031-New Market,109,631,747
793,45031-Oates,222,519,750
794,45031-Palmetto,651,642,1306
795,45031-Society Hill,297,173,477
796,45031-Swift Creek,204,444,658
797,45033-Bermuda,63,126,189
798,45033-Carolina,95,90,186
799,45033-East Dillon,290,1173,1468
800,45033-Floydale,70,377,452
801,45033-Fork,63,257,320
802,45033-Hamer,206,344,560
803,45033-Kemper,125,196,327
804,45033-Lake View,326,536,872
805,45033-Latta,805,930,1750
806,45033-Little Rock,241,167,410
807,45033-Manning,82,143,226
808,45033-Minturn,70,67,137
809,45033-Mt. Calvary,693,456,1159
810,45033-New Holly,75,193,268
811,45033-Oak Grove,164,512,680
812,45033-Oakland,330,257,596
813,45033-Pleasant Hill,77,211,289
814,45033-South Dillon,687,193,888
815,45033-West Dillon,778,297,1082
816,45035-Archdale,407,363,790
817,45035-Archdale 2,464,508,982
818,45035-Ashborough East,393,344,745
819,45035-Ashborough East 2,174,464,650
820,45035-Ashborough West,141,214,357
821,45035-Ashborough West 2,290,542,848
822,45035-Ashley River,786,803,1617
823,45035-Bacons Bridge,731,1153,1912
824,45035-Bacons Bridge 2,430,621,1069
825,45035-Beech Hill,423,861,1294
826,45035-Beech Hill 2,860,1590,2494
827,45035-Brandymill,187,304,500
828,45035-Brandymill 2,361,424,797
829,45035-Briarwood,302,393,704
830,45035-Briarwood 2,293,412,715
831,45035-Briarwood 3,180,308,498
832,45035-Butternut,610,1053,1691
833,45035-Carolina,623,559,1194
834,45035-Central,383,756,1151
835,45035-Central 2,412,606,1032
836,45035-Clemson,364,927,1379
837,45035-Clemson 2,680,923,1817
838,45035-Clemson 3,389,473,955
839,45035-Coastal,438,294,742
840,45035-Coastal 2,433,605,1047
841,45035-Coastal 3,214,256,475
842,45035-Coosaw,950,1096,2083
843,45035-Coosaw 2,758,668,1450
844,45035-Coosaw 3,378,531,924
845,45035-Cypress,799,1173,1994
846,45035-Cypress 2,274,549,833
847,45035-Delemars,636,905,1556
848,45035-Dorchester,338,451,796
849,45035-Dorchester 2,273,510,799
850,45035-Flowertown,964,1838,2838
851,45035-Flowertown 2,332,547,897
852,45035-Flowertown 3,409,559,981
853,45035-Four Hole,281,474,762
854,45035-Germantown,393,570,979
855,45035-Givhans,218,484,709
856,45035-Givhans 2,341,581,931
857,45035-Greenhurst,381,421,813
858,45035-Greenwave,288,381,678
859,45035-Grover,245,385,636
860,45035-Harleyville,156,327,489
861,45035-Indian Field,241,166,414
862,45035-Indian Field 2,302,291,599
863,45035-Irongate,156,346,510
864,45035-Irongate 2,114,150,266
865,45035-Irongate 3,147,268,420
866,45035-King's Grant,560,620,1193
867,45035-King's Grant 2,687,734,1442
868,45035-Knightsville,309,641,959
869,45035-Lincoln,502,232,746
870,45035-Miles/Jamison,644,808,1473
871,45035-Newington,271,561,850
872,45035-Newington 2,160,378,542
873,45035-North Summerville,135,209,349
874,45035-North Summerville 2,580,303,899
875,45035-Oakbrook,1265,1164,2469
876,45035-Oakbrook 2,436,472,927
877,45035-Patriot,748,311,1077
878,45035-Reevesville,284,431,726
879,45035-Ridgeville,283,558,849
880,45035-Ridgeville 2,210,222,435
881,45035-Rosinville,403,533,948
882,45035-Rosses,243,485,739
883,45035-Saul Dam,363,734,1111
884,45035-Sawmill Branch,351,713,1074
885,45035-Spann,324,644,988
886,45035-St. George No. 1,387,423,813
887,45035-St. George No. 2,190,279,483
888,45035-Stallsville,260,487,761
889,45035-Tranquil,182,258,446
890,45035-Tranquil 2,482,384,888
891,45035-Tranquil 3,339,304,651
892,45035-Trolley,371,330,706
893,45035-Tupperway,217,372,599
894,45035-Tupperway 2,284,380,678
895,45035-Windsor,330,295,634
896,45035-Windsor 2,347,147,497
897,45037-Brunson,250,188,443
898,45037-Edgefield No. 2,584,683,1281
899,45037-Edgefield No.1,233,466,709
900,45037-Harmony,173,593,774
901,45037-Johnston No. 2,396,381,787
902,45037-Johnston No.1,437,393,842
903,45037-Merriwether No. 2,607,2137,2775
904,45037-Merriwether No.1,527,1984,2541
905,45037-North Side,173,185,359
906,45037-Trenton,347,486,838
907,45037-Trenton 2,862,790,1688
908,45037-Westside,69,802,877
909,45039-Blackstock,36,16,52
910,45039-Blairs,229,75,306
911,45039-Centerville,68,157,229
912,45039-Dutchman Creek,362,850,1227
913,45039-Feasterville,132,61,196
914,45039-Gladden Grove,18,29,47
915,45039-Greenbrier,798,562,1377
916,45039-Hickory Ridge,369,228,604
917,45039-Horeb-Glenn,186,44,230
918,45039-Jenkinsville,300,107,413
919,45039-Lebanon,254,270,529
920,45039-Mitford,222,280,509
921,45039-Monticello,242,158,407
922,45039-New Hope,17,32,49
923,45039-Ridgeway,968,568,1557
924,45039-Simpson,321,349,683
925,45039-South Winnsboro,354,96,453
926,45039-White Oak,129,48,182
927,45039-Winnsboro Mills,248,187,452
928,45039-Winnsboro No. 1,579,277,865
929,45039-Winnsboro No. 2,365,360,730
930,45039-Woodward,69,25,94
931,45041-Back Swamp,100,226,330
932,45041-Brookgreen,308,94,408
933,45041-Cartersville,201,299,504
934,45041-Claussen,537,1027,1579
935,45041-Coles Crossroads,933,1011,1967
936,45041-Coward 1,155,423,583
937,45041-Coward 2,154,508,665
938,45041-Delmae 1,708,641,1375
939,45041-Delmae 2,374,1032,1422
940,45041-Ebenezer 1,947,1798,2781
941,45041-Ebenezer 2,1080,1294,2407
942,45041-Ebenezer 3,461,811,1287
943,45041-Effingham,124,439,574
944,45041-Elim-Glenwood,304,934,1244
945,45041-Evergreen,191,539,738
946,45041-Florence Ward 1,600,35,646
947,45041-Florence Ward 10,310,17,332
948,45041-Florence Ward 11,277,279,563
949,45041-Florence Ward 12,576,1097,1701
950,45041-Florence Ward 14,619,961,1612
951,45041-Florence Ward 15,165,56,227
952,45041-Florence Ward 2,444,53,511
953,45041-Florence Ward 3,542,25,582
954,45041-Florence Ward 4,243,179,427
955,45041-Florence Ward 5,367,209,592
956,45041-Florence Ward 6,195,355,561
957,45041-Florence Ward 7,507,793,1323
958,45041-Florence Ward 8,441,995,1455
959,45041-Florence Ward 9,736,30,778
960,45041-Friendfield,50,357,408
961,45041-Gilbert,920,206,1141
962,45041-Greenwood,752,781,1559
963,45041-Hannah,57,429,491
964,45041-High Hill,79,269,350
965,45041-Johnsonville,352,1048,1417
966,45041-Kingsburg-Stone,317,345,667
967,45041-Lake City No. 1,601,177,788
968,45041-Lake City No. 2,294,511,811
969,45041-Lake City No. 3,564,406,981
970,45041-Lake City No. 4,847,67,926
971,45041-Leo,86,157,246
972,45041-Mars Bluff No. 1,715,847,1581
973,45041-Mars Bluff No. 2,376,678,1066
974,45041-McAllister Mill,136,341,478
975,45041-Mill Branch,225,171,403
976,45041-Oak Grove-Sardis,129,674,809
977,45041-Olanta,333,584,928
978,45041-Pamplico No. 1,202,608,817
979,45041-Pamplico No. 2,210,154,375
980,45041-Prospect,19,252,274
981,45041-Quinby,439,161,614
982,45041-Salem,33,346,380
983,45041-Savannah Grove,1564,1327,2925
984,45041-Scranton,204,318,527
985,45041-South Florence 1,856,1014,1898
986,45041-South Florence 2,872,245,1140
987,45041-Spaulding,720,39,764
988,45041-Tans Bay,560,695,1278
989,45041-Timmonsville 1,629,177,820
990,45041-Timmonsville 2,449,466,926
991,45041-Vox,77,336,418
992,45041-West Florence 1,1064,1496,2599
993,45041-West Florence 2,373,762,1147
994,45043-Andrews,626,375,1029
995,45043-Andrews Outside,334,319,660
996,45043-Bethel,89,701,795
997,45043-Black River,300,1011,1319
998,45043-Brown's Ferry,957,307,1279
999,45043-Carver's Bay,37,112,150
1000,45043-Choppee,415,263,687
1001,45043-Dreamkeepers,489,31,531
1002,45043-Folly Grove,149,442,592
1003,45043-Georgetown No. 1,294,397,705
1004,45043-Georgetown No. 3,619,106,741
1005,45043-Georgetown No. 4,170,269,442
1006,45043-Georgetown No. 5,439,850,1305
1007,45043-Kensington,233,684,925
1008,45043-Lambert Town,63,330,399
1009,45043-Murrells Inlet No. 1,870,2002,2912
1010,45043-Murrells Inlet No. 2,621,1307,1951
1011,45043-Murrells Inlet No. 3,195,499,697
1012,45043-Murrells Inlet No. 4,275,1004,1287
1013,45043-Myersville,241,43,287
1014,45043-Pawleys Island No. 1,966,1816,2816
1015,45043-Pawleys Island No. 2,1252,1641,2937
1016,45043-Pawleys Island No. 3,766,1449,2243
1017,45043-Pawleys Island No. 4,705,1740,2480
1018,45043-Pawleys Island No. 5,890,1863,2785
1019,45043-Pee Dee,277,125,406
1020,45043-Pennyroyal,142,251,398
1021,45043-Plantersville,302,162,472
1022,45043-Pleasant Hill,212,457,675
1023,45043-Potato Bed Ferry,176,349,530
1024,45043-Sampit,496,146,651
1025,45043-Santee,552,173,734
1026,45043-Spring Gulley,628,571,1214
1027,45043-Winyah Bay,171,513,688
1028,45045-Aiken,359,258,628
1029,45045-Altamont Forest,326,781,1138
1030,45045-Asheton Lakes,853,1733,2628
1031,45045-Avon,389,819,1238
1032,45045-Baker Creek,240,789,1041
1033,45045-Belle Meade,790,105,912
1034,45045-Bells Crossing,775,1451,2262
1035,45045-Belmont,343,204,557
1036,45045-Berea,381,459,860
1037,45045-Boiling Springs,571,962,1565
1038,45045-Botany Woods,387,762,1178
1039,45045-Bridge Fork,411,881,1312
1040,45045-Brook Glenn,279,523,811
1041,45045-Canebrake,766,1356,2183
1042,45045-Carolina,538,185,740
1043,45045-Castle Rock,561,1847,2428
1044,45045-Chestnut Hills,542,495,1062
1045,45045-Circle Creek,837,1572,2448
1046,45045-Clear Creek,268,1078,1362
1047,45045-Conestee,858,911,1795
1048,45045-Darby Ridge,516,1728,2272
1049,45045-Del Norte,618,867,1513
1050,45045-Devenger,466,968,1469
1051,45045-Donaldson,871,562,1451
1052,45045-Dove Tree,516,836,1381
1053,45045-Dunklin,263,1622,1905
1054,45045-Eastside,624,1193,1858
1055,45045-Ebenezer,415,1431,1884
1056,45045-Edwards Forest,507,1082,1609
1057,45045-Enoree,984,1344,2379
1058,45045-Feaster,425,508,954
1059,45045-Fork Shoals,263,1297,1580
1060,45045-Fountain Inn 1,1148,1531,2718
1061,45045-Fountain Inn 2,464,796,1276
1062,45045-Fox Chase,388,1317,1721
1063,45045-Frohawk,298,949,1270
1064,45045-Furman,882,1330,2249
1065,45045-Gowensville,355,1380,1748
1066,45045-Granite Creek,931,1625,2609
1067,45045-Graze Branch,463,1009,1500
1068,45045-Greenbriar,813,968,1805
1069,45045-Greenville 1,657,723,1421
1070,45045-Greenville 10,1061,743,1851
1071,45045-Greenville 14,789,167,978
1072,45045-Greenville 16,748,819,1595
1073,45045-Greenville 17,610,741,1382
1074,45045-Greenville 18,471,752,1237
1075,45045-Greenville 19,929,348,1307
1076,45045-Greenville 20,422,553,985
1077,45045-Greenville 21,471,468,963
1078,45045-Greenville 22,653,1154,1848
1079,45045-Greenville 23,587,1113,1722
1080,45045-Greenville 24,1857,1819,3745
1081,45045-Greenville 25,469,422,907
1082,45045-Greenville 26,785,398,1215
1083,45045-Greenville 27,235,509,775
1084,45045-Greenville 28,348,298,669
1085,45045-Greenville 29,957,410,1400
1086,45045-Greenville 3,1070,876,2000
1087,45045-Greenville 4,1034,494,1567
1088,45045-Greenville 5,1301,828,2175
1089,45045-Greenville 6,359,182,552
1090,45045-Greenville 7,981,404,1419
1091,45045-Greenville 8,1633,1011,2702
1092,45045-Grove,527,549,1091
1093,45045-Hillcrest,690,1251,1968
1094,45045-Holly Tree,358,694,1068
1095,45045-Jennings Mill,467,1114,1603
1096,45045-Kilgore Farms,805,1305,2143
1097,45045-Lakeview,697,762,1504
1098,45045-Laurel Ridge,581,1427,2048
1099,45045-Leawood,575,874,1477
1100,45045-Locust Hill,250,987,1255
1101,45045-Long Creek,669,1218,1925
1102,45045-Maple Creek,524,1036,1584
1103,45045-Maridell,321,1355,1707
1104,45045-Mauldin 1,861,874,1762
1105,45045-Mauldin 2,1421,1740,3211
1106,45045-Mauldin 3,883,724,1635
1107,45045-Mauldin 4,853,1307,2192
1108,45045-Mauldin 5,995,1029,2064
1109,45045-Mauldin 6,753,879,1655
1110,45045-Mauldin 7,580,829,1447
1111,45045-Mission,782,1191,2007
1112,45045-Monaview,479,581,1081
1113,45045-Moore Creek,1617,1997,3662
1114,45045-Mountain Creek,482,1305,1816
1115,45045-Mountain View,246,1661,1929
1116,45045-Mt Pleasant,745,304,1071
1117,45045-Neely Farms,1072,1679,2820
1118,45045-Northwood,493,913,1437
1119,45045-Oakview,841,1613,2497
1120,45045-Oneal,662,2414,3107
1121,45045-Palmetto,475,731,1243
1122,45045-Paris Mountain,356,745,1130
1123,45045-Pebble Creek,538,1261,1832
1124,45045-Pelham Falls,302,549,877
1125,45045-Piedmont,769,1340,2142
1126,45045-Pineview,250,916,1177
1127,45045-Poinsett,907,1329,2271
1128,45045-Raintree,1020,1647,2722
1129,45045-Ranch Creek,1494,1345,2894
1130,45045-Reedy Fork,1141,1508,2680
1131,45045-River Walk,668,1273,1976
1132,45045-Riverside,777,1130,1957
1133,45045-Rock Hill,664,879,1575
1134,45045-Rocky Creek,542,753,1316
1135,45045-Rolling Green,480,1006,1524
1136,45045-Royal Oaks,648,197,859
1137,45045-Saluda,408,641,1060
1138,45045-Sandy Flat,698,2475,3210
1139,45045-Sevier,650,1297,1982
1140,45045-Silverleaf,625,1200,1853
1141,45045-Simpsonville 1,692,1106,1819
1142,45045-Simpsonville 2,723,999,1747
1143,45045-Simpsonville 3,736,1392,2160
1144,45045-Simpsonville 4,581,669,1268
1145,45045-Simpsonville 5,1154,1090,2271
1146,45045-Simpsonville 6,795,1231,2057
1147,45045-Skyland,271,2103,2401
1148,45045-Slater Marietta,395,1868,2303
1149,45045-Southside,766,793,1584
1150,45045-Sparrows Point,809,1296,2144
1151,45045-Spring Forest,642,754,1428
1152,45045-Standing Springs,525,813,1365
1153,45045-Stone Valley,474,904,1413
1154,45045-Stonehaven,540,1039,1604
1155,45045-Suber Mill,1001,1649,2705
1156,45045-Sugar Creek,540,1253,1846
1157,45045-Sulphur Springs,724,1383,2143
1158,45045-Sycamore,849,1987,2881
1159,45045-Tanglewood,670,668,1369
1160,45045-Taylors,534,773,1340
1161,45045-Thornblade,801,1428,2271
1162,45045-Tigerville,516,2044,2588
1163,45045-Timberlake,780,1064,1887
1164,45045-Trade,649,914,1594
1165,45045-Travelers Rest 1,818,1331,2201
1166,45045-Travelers Rest 2,405,918,1349
1167,45045-Tubbs Mountain,514,1673,2212
1168,45045-Tyger River,392,592,1009
1169,45045-Verdmont,607,1185,1821
1170,45045-Wade Hampton,438,928,1399
1171,45045-Walnut Springs,1537,3067,4686
1172,45045-Ware Place,347,1293,1658
1173,45045-Welcome,645,533,1196
1174,45045-Wellington,413,739,1177
1175,45045-Westcliffe,366,672,1058
1176,45045-Westside,490,743,1249
1177,45045-Woodmont,1043,1102,2181
1178,45045-Woodruff Lakes,657,1244,1937
1179,45047-Airport,235,470,717
1180,45047-Allie's Crossing,154,496,656
1181,45047-Angel Oaks Crossing,302,766,1084
1182,45047-Ashley River Run,206,70,286
1183,45047-Bee's Ferry,428,33,473
1184,45047-Biltmore Pines,227,570,806
1185,45047-Bradley,52,111,164
1186,45047-Callison,146,582,733
1187,45047-Civic Center,465,436,917
1188,45047-Cokesbury,333,361,701
1189,45047-Coronaca,242,871,1128
1190,45047-Emerald,287,95,392
1191,45047-Emerald High,99,285,387
1192,45047-Epworth,84,426,514
1193,45047-Fairhope Ferry,354,224,587
1194,45047-Georgetown,250,419,679
1195,45047-Gideon's Way,312,207,526
1196,45047-Glendale,112,433,555
1197,45047-Graham's Glen,154,528,689
1198,45047-Grandiflora Glen,360,376,750
1199,45047-Greenwood High,228,448,686
1200,45047-Greenwood Mill,129,387,530
1201,45047-Harris,217,392,618
1202,45047-Hodges,186,820,1014
1203,45047-Hope's Ferry,239,219,466
1204,45047-Laco,274,522,805
1205,45047-Liberty,233,266,505
1206,45047-Livi's Knoll,334,443,784
1207,45047-Loblolly Pines,261,65,334
1208,45047-Lower Lake,276,896,1185
1209,45047-Marshall Oaks,196,91,296
1210,45047-Maxwellton Pike,104,522,631
1211,45047-Mimosa Crest,242,386,632
1212,45047-Mountain Laurel,245,207,459
1213,45047-New Castle,218,596,820
1214,45047-New Market,251,375,635
1215,45047-Ninety Six,209,368,584
1216,45047-Ninety Six Mill,80,466,555
1217,45047-Parson's Mill,253,352,610
1218,45047-Pebble Stone Way,270,318,595
1219,45047-Pinecrest,259,373,644
1220,45047-Riley,41,112,155
1221,45047-Rutherford Shoals,130,397,533
1222,45047-Sandridge,56,446,507
1223,45047-Shoals Junction,46,203,250
1224,45047-Sparrows Grace,236,894,1141
1225,45047-Stonewood,197,605,810
1226,45047-Troy,24,91,115
1227,45047-Verdery,340,381,734
1228,45047-Ware Shoals,130,227,361
1229,45049-Black Creek,52,141,193
1230,45049-Bonnett,151,404,558
1231,45049-Brunson,158,261,425
1232,45049-Crocketville-Miley,116,223,341
1233,45049-Cummings,259,268,537
1234,45049-Early Branch,155,122,282
1235,45049-Estill,983,297,1302
1236,45049-Furman,142,90,237
1237,45049-Garnett,76,24,100
1238,45049-Gifford,161,23,185
1239,45049-Hampton No. 1,305,373,680
1240,45049-Hampton No. 2,439,530,985
1241,45049-Hopewell,23,184,210
1242,45049-Horse Gall,10,69,80
1243,45049-Rivers Mill,25,32,58
1244,45049-Scotia,182,31,217
1245,45049-Varnville,683,479,1177
1246,45049-Yemassee,403,247,658
1247,45051-Adrian,377,1154,1543
1248,45051-Allsbrook,89,522,613
1249,45051-Atlantic Beach,82,20,103
1250,45051-Aynor,311,1468,1794
1251,45051-Bayboro-Gurley,280,808,1096
1252,45051-Brooksville #1,1109,2448,3588
1253,45051-Brooksville #2,347,702,1060
1254,45051-Brownway,341,1258,1613
1255,45051-Burgess #1,585,1364,1968
1256,45051-Burgess #3,636,1499,2149
1257,45051-Burgess #4,477,1164,1648
1258,45051-Burgess #5,584,1362,1958
1259,45051-Burgess#2,695,1744,2460
1260,45051-Carolina Bays,666,1679,2364
1261,45051-Carolina Forest #1,750,1508,2283
1262,45051-Carolina Forest #2,528,928,1469
1263,45051-Cedar Grove,137,1042,1193
1264,45051-Cherry Grove #1,549,1720,2300
1265,45051-Cherry Grove #2,389,849,1243
1266,45051-Coastal Carolina,299,487,794
1267,45051-Coastal Lane #1,387,94,487
1268,45051-Coastal Lane #2,370,217,598
1269,45051-Cool Springs,64,377,444
1270,45051-Crescent,384,911,1306
1271,45051-Daisy,223,889,1125
1272,45051-Deerfield,1081,2340,3455
1273,45051-Dogbluff,83,849,937
1274,45051-Dogwood,584,994,1600
1275,45051-Dunes #1,939,2332,3291
1276,45051-Dunes #2,506,1273,1797
1277,45051-Dunes #3,352,466,834
1278,45051-East Conway,439,913,1368
1279,45051-East Loris,759,1598,2371
1280,45051-Ebenezer,700,1828,2544
1281,45051-Emerald Forest #1,569,1186,1779
1282,45051-Emerald Forest #2,1369,2848,4259
1283,45051-Emerald Forest #3,1064,2249,3361
1284,45051-Enterprise #1,493,1055,1569
1285,45051-Enterprise #2,451,1011,1476
1286,45051-Forestbrook,850,1648,2519
1287,45051-Four Mile,460,1122,1600
1288,45051-Galivants Ferry,24,113,140
1289,45051-Garden City #1,403,1322,1733
1290,45051-Garden City #2,217,838,1068
1291,45051-Garden City #3,527,991,1528
1292,45051-Garden City #4,281,641,927
1293,45051-Glenns Bay,491,1140,1652
1294,45051-Green Sea,164,569,742
1295,45051-Hickory Grove,272,890,1169
1296,45051-Homewood,423,974,1412
1297,45051-Horry,246,1268,1527
1298,45051-Inland,86,155,242
1299,45051-Jackson Bluff,111,348,462
1300,45051-Jamestown,1038,1549,2616
1301,45051-Jernigans X Roads,100,475,577
1302,45051-Jet Port #1,514,1067,1601
1303,45051-Jet Port #2,328,586,927
1304,45051-Jet Port #3,661,1256,1933
1305,45051-Jet Port #4,797,1363,2178
1306,45051-Juniper Bay,325,1128,1464
1307,45051-Lake Park #1,362,688,1064
1308,45051-Lake Park #2,455,683,1153
1309,45051-Lake Park #3,551,1140,1709
1310,45051-Leon,656,985,1657
1311,45051-Little River #1,834,2167,3021
1312,45051-Little River #2,734,1803,2561
1313,45051-Little River #3,495,1215,1724
1314,45051-Live Oak,166,537,709
1315,45051-Maple,307,975,1298
1316,45051-Marlowe #1,530,1365,1906
1317,45051-Marlowe #2,944,1914,2876
1318,45051-Marlowe #3,1157,2581,3779
1319,45051-Methodist-Mill Swamp,94,1074,1175
1320,45051-Mt Olive,165,749,920
1321,45051-Mt Vernon,77,434,514
1322,45051-Myrtle Trace,413,642,1062
1323,45051-Myrtlewood #1,289,466,768
1324,45051-Myrtlewood #2,430,793,1243
1325,45051-Myrtlewood #3,380,956,1348
1326,45051-Nixons X Roads #1,646,1785,2446
1327,45051-Nixons X Roads #2,1023,1857,2901
1328,45051-Nixons X Roads #3,574,1297,1888
1329,45051-North Conway #1,581,866,1459
1330,45051-North Conway #2,234,583,829
1331,45051-Ocean Drive #1,587,1643,2248
1332,45051-Ocean Drive #2,331,1108,1446
1333,45051-Ocean Drive #3,478,1367,1863
1334,45051-Ocean Forest #1,383,815,1210
1335,45051-Ocean Forest #2,1047,2073,3139
1336,45051-Ocean Forest #3,482,658,1156
1337,45051-Palmetto Bays,1201,2527,3765
1338,45051-Pawleys Swamp,60,351,415
1339,45051-Pleasant View,46,427,477
1340,45051-Poplar Hill,76,721,801
1341,45051-Port Harrelson,366,55,424
1342,45051-Racepath #1,490,434,938
1343,45051-Racepath #2,785,436,1229
1344,45051-Red Bluff,290,558,857
1345,45051-Red Hill #1,180,499,689
1346,45051-Red Hill #2,583,1074,1674
1347,45051-River Oaks,1042,2524,3598
1348,45051-Salem,542,1665,2231
1349,45051-Sea Oats #1,379,650,1048
1350,45051-Sea Oats #2,355,503,867
1351,45051-Sea Winds,968,1968,2958
1352,45051-Shell,291,1192,1501
1353,45051-Socastee #1,388,867,1268
1354,45051-Socastee #2,307,1044,1364
1355,45051-Socastee #3,1127,2752,3922
1356,45051-Socastee #4,254,642,910
1357,45051-Surfside #1,494,1289,1798
1358,45051-Surfside #2,254,632,893
1359,45051-Surfside #3,630,1607,2256
1360,45051-Surfside #4,839,1852,2731
1361,45051-Sweet Home,360,602,967
1362,45051-Tilly Swamp,685,2093,2802
1363,45051-Toddville,391,907,1306
1364,45051-Waccamaw,1044,2179,3251
1365,45051-Wampee,954,1195,2172
1366,45051-West Conway,258,293,558
1367,45051-West Loris,349,262,615
1368,45051-White Oak,72,514,594
1369,45051-Wild Wing,1301,2780,4106
1370,45051-Windy Hill #1,319,764,1094
1371,45051-Windy Hill #2,784,1866,2674
1372,45053-Coosawhatchie,230,83,316
1373,45053-Gillisonville,214,240,460
1374,45053-Grahamville 1,381,620,1008
1375,45053-Grahamville 2,894,590,1499
1376,45053-Grays,130,436,567
1377,45053-Hardeeville  3,243,462,709
1378,45053-Hardeeville 1,308,276,596
1379,45053-Hardeeville 2,291,186,490
1380,45053-Levy,709,518,1243
1381,45053-Margaritaville,1213,1823,3067
1382,45053-Okatie 1,267,424,697
1383,45053-Okatie 2,469,731,1209
1384,45053-Pineland,379,71,455
1385,45053-Ridgeland 1,206,474,690
1386,45053-Ridgeland 2,318,344,670
1387,45053-Ridgeland 3,222,390,614
1388,45053-Sun City,1393,2018,3443
1389,45053-Tillman,271,202,476
1390,45055-Airport,272,531,810
1391,45055-Antioch,181,431,619
1392,45055-Bethune,278,519,814
1393,45055-Buffalo,158,914,1077
1394,45055-Camden No. 1,641,548,1211
1395,45055-Camden No. 2,111,149,264
1396,45055-Camden No. 5,261,422,696
1397,45055-Camden No. 5-A,205,151,358
1398,45055-Camden No. 6,248,370,627
1399,45055-Cassatt,251,815,1077
1400,45055-Charlotte Thompson,483,679,1178
1401,45055-Doby's Mill,501,987,1509
1402,45055-Elgin No. 1,796,1138,1956
1403,45055-Elgin No. 2,477,802,1292
1404,45055-Elgin No. 3,436,605,1051
1405,45055-Elgin No. 4,515,893,1433
1406,45055-Elgin No. 5,460,690,1166
1407,45055-Elgin No. 6,463,498,967
1408,45055-Hobkirk's Hill,524,765,1313
1409,45055-Liberty Hill,101,370,472
1410,45055-Lugoff No. 1,314,609,935
1411,45055-Lugoff No. 2,437,918,1374
1412,45055-Lugoff No. 3,342,848,1206
1413,45055-Lugoff No. 4,343,828,1191
1414,45055-Malvern Hill,363,562,934
