precinct_id,state,total_votes,ei_white_dem_vote_fraction,ei_white_rep_vote_fraction,ei_white_party_of_choice,ei_white_precinct_confidence,ei_black_dem_vote_fraction,ei_black_rep_vote_fraction,ei_black_party_of_choice,ei_black_precinct_confidence,ei_asian_dem_vote_fraction,ei_asian_rep_vote_fraction,ei_asian_party_of_choice,ei_asian_precinct_confidence,ei_hispanic_dem_vote_fraction,ei_hispanic_rep_vote_fraction,ei_hispanic_party_of_choice,ei_hispanic_precinct_confidence
36,South Carolina,772,0.082163,0.917837,republican,0.9178,0.649018,0.350982,democratic,0.649,0.737317,0.262683,democratic,0.7373,0.247045,0.752955,republican,0.753
37,South Carolina,1553,0.083566,0.916434,republican,0.9164,0.404587,0.595413,republican,0.5954,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
38,South Carolina,1446,0.14349,0.85651,republican,0.8565,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
39,South Carolina,634,0.057121,0.942879,republican,0.9429,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
40,South Carolina,750,0.0,1.0,republican,1.0,0.374413,0.625587,republican,0.6256,0.737317,0.262683,democratic,0.7373,0.089761,0.910239,republican,0.9102
41,South Carolina,525,0.049247,0.950753,republican,0.9508,0.569561,0.430439,democratic,0.5696,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
42,South Carolina,647,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
43,South Carolina,1450,0.100337,0.899663,republican,0.8997,0.500668,0.499332,democratic,0.5007,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
44,South Carolina,1917,0.058535,0.941465,republican,0.9415,0.473473,0.526527,republican,0.5265,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
45,South Carolina,668,0.060297,0.939703,republican,0.9397,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
46,South Carolina,1068,0.177099,0.822901,republican,0.8229,0.793185,0.206815,democratic,0.7932,0.046232,0.953768,republican,0.9538,0.543757,0.456243,democratic,0.5438
47,South Carolina,439,0.022948,0.977052,republican,0.9771,0.468519,0.531481,republican,0.5315,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
48,South Carolina,972,0.032848,0.967152,republican,0.9672,0.689739,0.310261,democratic,0.6897,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
49,South Carolina,942,0.103932,0.896068,republican,0.8961,0.817882,0.182118,democratic,0.8179,1.0,0.0,democratic,1.0,0.86085,0.13915,democratic,0.8609
50,South Carolina,1315,0.029747,0.970253,republican,0.9703,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
51,South Carolina,716,0.073949,0.926051,republican,0.9261,0.934948,0.065052,democratic,0.9349,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
52,South Carolina,948,0.083531,0.916469,republican,0.9165,0.584647,0.415353,democratic,0.5846,0.737317,0.262683,democratic,0.7373,0.397857,0.602143,republican,0.6021
53,South Carolina,647,0.116744,0.883256,republican,0.8833,0.743462,0.256538,democratic,0.7435,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
54,South Carolina,396,0.0,1.0,republican,1.0,0.623036,0.376964,democratic,0.623,0.737317,0.262683,democratic,0.7373,0.671902,0.328098,democratic,0.6719
55,South Carolina,871,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
56,South Carolina,738,0.04646,0.95354,republican,0.9535,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
57,South Carolina,807,0.020075,0.979925,republican,0.9799,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
58,South Carolina,540,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
59,South Carolina,1078,0.124284,0.875716,republican,0.8757,0.036204,0.963796,republican,0.9638,0.0,1.0,republican,1.0,0.865562,0.134438,democratic,0.8656
60,South Carolina,1045,0.076392,0.923608,republican,0.9236,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
61,South Carolina,985,0.09781,0.90219,republican,0.9022,0.207755,0.792245,republican,0.7922,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
62,South Carolina,765,0.014002,0.985998,republican,0.986,0.135299,0.864701,republican,0.8647,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
63,South Carolina,639,0.0,1.0,republican,1.0,0.271188,0.728812,republican,0.7288,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
64,South Carolina,1213,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
65,South Carolina,958,0.0,1.0,republican,1.0,0.800184,0.199816,democratic,0.8002,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
66,South Carolina,1431,0.099775,0.900225,republican,0.9002,0.248238,0.751762,republican,0.7518,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
67,South Carolina,942,0.316985,0.683015,republican,0.683,1.0,0.0,democratic,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
68,South Carolina,767,0.301672,0.698328,republican,0.6983,1.0,0.0,democratic,1.0,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
69,South Carolina,819,0.310254,0.689746,republican,0.6897,0.988467,0.011533,democratic,0.9885,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
70,South Carolina,1329,0.168074,0.831926,republican,0.8319,0.669325,0.330675,democratic,0.6693,0.737317,0.262683,democratic,0.7373,0.47972,0.52028,republican,0.5203
71,South Carolina,596,0.240746,0.759254,republican,0.7593,1.0,0.0,democratic,1.0,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
72,South Carolina,1221,0.191917,0.808083,republican,0.8081,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
73,South Carolina,860,0.005321,0.994679,republican,0.9947,0.334718,0.665282,republican,0.6653,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
74,South Carolina,1303,0.14284,0.85716,republican,0.8572,0.464762,0.535238,republican,0.5352,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
75,South Carolina,943,0.364178,0.635822,republican,0.6358,1.0,0.0,democratic,1.0,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
76,South Carolina,1417,0.153552,0.846448,republican,0.8464,0.640879,0.359121,democratic,0.6409,0.0,1.0,republican,1.0,0.407823,0.592177,republican,0.5922
77,South Carolina,2044,0.268439,0.731561,republican,0.7316,1.0,0.0,democratic,1.0,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
78,South Carolina,703,0.272144,0.727856,republican,0.7279,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
79,South Carolina,815,0.195468,0.804532,republican,0.8045,0.874511,0.125489,democratic,0.8745,0.527003,0.472997,democratic,0.527,0.905653,0.094347,democratic,0.9057
80,South Carolina,1453,0.078982,0.921018,republican,0.921,0.1111,0.8889,republican,0.8889,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
81,South Carolina,893,0.007313,0.992687,republican,0.9927,0.366062,0.633938,republican,0.6339,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
82,South Carolina,1349,0.019496,0.980504,republican,0.9805,0.686686,0.313314,democratic,0.6867,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
83,South Carolina,1056,0.086232,0.913768,republican,0.9138,0.507665,0.492335,democratic,0.5077,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
84,South Carolina,853,0.01581,0.98419,republican,0.9842,0.285621,0.714379,republican,0.7144,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
85,South Carolina,772,0.056967,0.943033,republican,0.943,0.29987,0.70013,republican,0.7001,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
86,South Carolina,481,0.018803,0.981197,republican,0.9812,0.667933,0.332067,democratic,0.6679,0.737317,0.262683,democratic,0.7373,0.65844,0.34156,democratic,0.6584
87,South Carolina,1404,0.232922,0.767078,republican,0.7671,0.184568,0.815432,republican,0.8154,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
88,South Carolina,860,0.06354,0.93646,republican,0.9365,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
89,South Carolina,1093,0.129328,0.870672,republican,0.8707,0.770735,0.229265,democratic,0.7707,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
90,South Carolina,1194,0.134096,0.865904,republican,0.8659,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
91,South Carolina,459,0.0,1.0,republican,1.0,0.532736,0.467264,democratic,0.5327,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
92,South Carolina,1470,0.060843,0.939157,republican,0.9392,0.483874,0.516126,republican,0.5161,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
93,South Carolina,930,0.010373,0.989627,republican,0.9896,0.786948,0.213052,democratic,0.7869,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
94,South Carolina,807,0.206955,0.793045,republican,0.793,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
95,South Carolina,1056,0.137999,0.862001,republican,0.862,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
96,South Carolina,1020,0.204756,0.795244,republican,0.7952,0.732486,0.267514,democratic,0.7325,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
97,South Carolina,1103,0.097129,0.902871,republican,0.9029,0.375892,0.624108,republican,0.6241,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
98,South Carolina,1267,0.212806,0.787194,republican,0.7872,0.945114,0.054886,democratic,0.9451,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
99,South Carolina,875,0.251199,0.748801,republican,0.7488,0.480805,0.519195,republican,0.5192,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
100,South Carolina,1104,0.065577,0.934423,republican,0.9344,0.494825,0.505175,republican,0.5052,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
