state,racial_group,b1_samples,b2_samples
Oregon,white,"0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.426169,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855,0.424855","0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.976058,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228,0.980228"
Oregon,black,"0.688155,0.691730,0.686288,0.684596,0.707432,0.703419,0.680074,0.673614,0.694561,0.714989,0.718603,0.723758,0.705489,0.722651,0.687082,0.682355,0.691249,0.714350,0.714409,0.712801,0.714233,0.732830,0.746400,0.752960,0.737561,0.736848,0.754111,0.755467,0.773068,0.755893,0.759573,0.749236,0.749544,0.749802,0.774242,0.771035,0.768453,0.774773,0.758631,0.760372,0.779410,0.791342,0.812904,0.807445,0.803195,0.795961,0.797551,0.786126,0.809903,0.817455,0.826885,0.795136,0.790223,0.811270,0.808102,0.803938,0.816076,0.819045,0.817110,0.810481,0.818230,0.810336,0.811121,0.801048,0.791898,0.792572,0.792669,0.801685,0.825215,0.826204,0.840256,0.842566,0.854473,0.854309,0.840500,0.853467,0.843517,0.842399,0.836663,0.838697,0.840482,0.842011,0.832944,0.824217,0.799438,0.797321,0.800356,0.806316,0.798032,0.795133,0.808229,0.809231,0.795115,0.804467,0.814812,0.819945,0.838663,0.842020,0.851776,0.858841,0.863615,0.863316,0.862573,0.855321,0.863916,0.862737,0.874651,0.877140,0.884159,0.869710,0.874587,0.870975,0.879085,0.884506,0.878735,0.886945,0.890669,0.887290,0.888226,0.896784,0.900261,0.901211,0.909105,0.900962,0.903663,0.906334,0.903123,0.903307,0.902149,0.902337,0.898986,0.904569,0.907108,0.897746,0.905893,0.920323,0.926110,0.923709,0.915473,0.921579,0.922322,0.921693,0.911039,0.912000,0.923608,0.922501,0.931473,0.921145,0.919501,0.920048,0.925858,0.925652,0.935526,0.939938,0.931673,0.936059,0.942583,0.945820,0.948084,0.948990,0.941827,0.943407,0.948622,0.949368,0.949062,0.952685,0.952514,0.952905,0.951824,0.954545,0.956890,0.961112,0.966625,0.961900,0.961227,0.958471,0.960424,0.957548,0.958815,0.958199,0.957663,0.954719,0.958887,0.960310,0.957733,0.957533,0.959063,0.957399,0.959861,0.960822,0.961974,0.961928,0.963874,0.962305,0.961048,0.964029,0.963583,0.964004,0.962177,0.968489,0.963998,0.965462,0.964358,0.968054,0.967175,0.965439,0.965199,0.965344,0.963605,0.963770,0.964897,0.964924,0.964413,0.963052,0.963417,0.964364,0.963054,0.967073,0.968080,0.966700,0.968076,0.968279,0.968870,0.973850,0.975929,0.975253,0.978984,0.979445,0.975344,0.978000,0.976718,0.974877,0.971215,0.968786,0.969249,0.967983,0.970322,0.972242,0.972020,0.971707,0.969105,0.968197,0.968111,0.969882,0.969713,0.967970,0.967202,0.966756,0.966454,0.968362,0.968987,0.971048,0.969637,0.973400,0.974185,0.974264,0.974351,0.975575,0.974887,0.973789,0.972444,0.973104,0.975111,0.976024,0.974732,0.975721,0.974613,0.975803,0.972522,0.967970,0.965805,0.965135,0.960720,0.958567,0.957889,0.959597,0.958070,0.958001,0.958274,0.959437,0.964088,0.964758,0.961131,0.960069,0.960678,0.963995,0.966450,0.965721,0.965600,0.965936,0.964559,0.965932,0.963534,0.965204,0.965639,0.963466,0.964835,0.963344,0.966550,0.965728,0.804398,0.805482,0.797849,0.796698,0.792575,0.802074,0.801215,0.798803,0.801894,0.799050,0.792348,0.797482,0.806753,0.818646,0.817870,0.819512,0.820786,0.823062,0.817074,0.818438,0.813526,0.814808,0.815468,0.819114,0.813710,0.816870,0.813359,0.812086,0.812339,0.800143,0.798441,0.815377,0.813429,0.820612,0.824880,0.827865,0.832312,0.833365,0.832581,0.832010,0.834484,0.831643,0.834707,0.833264,0.840021,0.840908,0.840802,0.842678,0.843355,0.841432,0.843965,0.844712,0.850546,0.847990,0.852021,0.859302,0.859010,0.863521,0.868314,0.867802,0.870117,0.875241,0.881742,0.882986,0.879731,0.879722,0.878879,0.880945,0.880601,0.880806,0.882629,0.883199,0.878940,0.885124,0.880797,0.880986,0.880767,0.883203,0.886826,0.883907,0.885394,0.882744,0.884467,0.885178,0.885458,0.885461,0.885679,0.885319,0.886275,0.891239,0.883382,0.887859,0.884118,0.892791,0.894671,0.894054,0.894380,0.891928,0.890616,0.889674,0.890594,0.889896,0.886178,0.889693,0.886673,0.886711,0.885920,0.886632,0.887248,0.887348,0.889136,0.887171,0.887023,0.885697,0.886282,0.885661,0.886227,0.888482,0.888243,0.889466,0.888703,0.886685,0.886926,0.886734,0.885726,0.882493,0.887611,0.884105,0.878918,0.877649,0.879884,0.871395,0.871091,0.872096,0.870253,0.871721,0.871357,0.866451,0.870514,0.872332,0.873228,0.874383,0.878221,0.877120,0.875732,0.877559,0.880481,0.883803,0.883048,0.881672,0.883867,0.882968,0.884766,0.883272,0.882433,0.880290,0.878765,0.878494,0.883037,0.883338,0.880421,0.876519,0.874570,0.873926,0.874729,0.876922,0.877395,0.875702,0.875199,0.873177,0.872152,0.865376,0.866742,0.864664,0.864600,0.864297,0.864461,0.867381,0.863950,0.861720,0.864710,0.866607,0.864642,0.863855,0.859459,0.859056,0.862978,0.857321,0.857782,0.852958,0.856317,0.850923,0.849556,0.851996,0.852852,0.848967,0.845787,0.847880,0.846826,0.851148,0.850234,0.848139,0.848409,0.846834,0.848585,0.847148,0.849516,0.847930,0.844113,0.847784,0.848730,0.846338,0.847847,0.847321,0.848805,0.847191,0.853935,0.852494,0.849670,0.849499,0.850590,0.851112,0.851771,0.852263,0.851748,0.847996,0.851852,0.847316,0.847432,0.849095,0.847732,0.853524,0.857994,0.861931,0.863196,0.863993,0.866005,0.863059,0.863587,0.867407,0.858226,0.863386,0.862127,0.865167,0.862063,0.863823,0.865682,0.863580,0.863687,0.865017,0.868028,0.868897,0.869109,0.867194,0.863878,0.857188,0.860004,0.862340,0.861869,0.865255,0.865982,0.863275,0.860959,0.861017,0.861608,0.863178,0.864404,0.864816,0.864003,0.863116,0.859529,0.862743,0.862849,0.860961,0.860561,0.860245,0.860936,0.858921,0.857434,0.858441,0.858237,0.856709,0.859046,0.859646,0.860191,0.857732,0.860743,0.857517,0.860924,0.857929,0.857952,0.854115,0.853498,0.853940,0.852848,0.854270,0.853849,0.855135,0.854256,0.851729","0.552393,0.552038,0.552117,0.552206,0.551961,0.551675,0.552412,0.552051,0.552277,0.551853,0.551743,0.551735,0.552026,0.551532,0.552058,0.552490,0.551944,0.552061,0.551864,0.551892,0.551860,0.551294,0.551531,0.551255,0.551657,0.551782,0.551278,0.551134,0.550981,0.551534,0.551365,0.551617,0.551679,0.551575,0.551354,0.551086,0.551679,0.551354,0.551632,0.551716,0.551100,0.551083,0.550622,0.550455,0.550525,0.550961,0.550955,0.550972,0.550840,0.550293,0.550396,0.551105,0.551271,0.550468,0.550559,0.550875,0.550397,0.550645,0.550515,0.550702,0.550486,0.550531,0.550680,0.550878,0.550911,0.550934,0.550944,0.550924,0.550363,0.550228,0.550103,0.550123,0.550064,0.550028,0.550117,0.549994,0.550190,0.550380,0.550156,0.550462,0.550595,0.550448,0.550605,0.550781,0.550838,0.550985,0.550874,0.550710,0.551296,0.551387,0.551060,0.551057,0.551332,0.551496,0.551085,0.550643,0.550336,0.550335,0.550260,0.549815,0.550211,0.549881,0.549903,0.550200,0.550013,0.549965,0.549560,0.549666,0.549523,0.549884,0.549636,0.549717,0.549770,0.549534,0.549672,0.549574,0.549316,0.549657,0.549574,0.549426,0.549256,0.549553,0.549167,0.549453,0.549234,0.549330,0.549149,0.549298,0.549299,0.549304,0.549428,0.549185,0.549225,0.549361,0.549212,0.549047,0.548975,0.548932,0.549099,0.549017,0.549013,0.548976,0.549263,0.549148,0.548985,0.549089,0.548848,0.549002,0.549042,0.549041,0.548936,0.549131,0.548821,0.548771,0.548878,0.548818,0.548700,0.548657,0.548625,0.548627,0.548674,0.548701,0.548559,0.548602,0.548609,0.548551,0.548604,0.548606,0.548588,0.548629,0.548523,0.548428,0.548330,0.548452,0.548403,0.548486,0.548428,0.548488,0.548458,0.548472,0.548490,0.548592,0.548482,0.548452,0.548549,0.548548,0.548494,0.548466,0.548485,0.548456,0.548469,0.548530,0.548427,0.548452,0.548474,0.548407,0.548416,0.548369,0.548496,0.548347,0.548479,0.548421,0.548415,0.548339,0.548370,0.548407,0.548412,0.548428,0.548405,0.548396,0.548434,0.548388,0.548436,0.548452,0.548458,0.548423,0.548424,0.548382,0.548343,0.548360,0.548389,0.548387,0.548338,0.548269,0.548270,0.548247,0.548194,0.548184,0.548227,0.548202,0.548242,0.548256,0.548341,0.548389,0.548339,0.548366,0.548373,0.548259,0.548299,0.548280,0.548371,0.548360,0.548396,0.548287,0.548293,0.548408,0.548361,0.548439,0.548369,0.548404,0.548360,0.548331,0.548334,0.548314,0.548262,0.548272,0.548247,0.548219,0.548257,0.548281,0.548260,0.548255,0.548258,0.548224,0.548265,0.548217,0.548228,0.548223,0.548283,0.548324,0.548384,0.548382,0.548371,0.548509,0.548507,0.548426,0.548463,0.548489,0.548434,0.548455,0.548407,0.548432,0.548447,0.548443,0.548458,0.548392,0.548364,0.548399,0.548419,0.548379,0.548407,0.548389,0.548407,0.548405,0.548399,0.548392,0.548392,0.548398,0.548386,0.548398,0.550730,0.550763,0.550874,0.550840,0.551010,0.550609,0.550831,0.550733,0.550593,0.550771,0.550789,0.550640,0.550581,0.550445,0.550425,0.550652,0.550326,0.550364,0.550646,0.550522,0.550661,0.550690,0.550452,0.550401,0.550755,0.550523,0.550696,0.550533,0.550739,0.550857,0.550892,0.550745,0.550609,0.550598,0.550484,0.550430,0.550381,0.550280,0.550336,0.550466,0.550354,0.550471,0.550330,0.550338,0.550207,0.550167,0.550280,0.550238,0.550250,0.550348,0.550259,0.550329,0.550110,0.550266,0.550148,0.549946,0.550081,0.549923,0.549818,0.549862,0.549742,0.549720,0.549684,0.549622,0.549767,0.549681,0.549754,0.549737,0.549682,0.549678,0.549700,0.549646,0.549832,0.549614,0.549722,0.549759,0.549719,0.549713,0.549698,0.549745,0.549726,0.549739,0.549757,0.549709,0.549703,0.549698,0.549679,0.549689,0.549650,0.549582,0.549730,0.549682,0.549652,0.549520,0.549398,0.549500,0.549461,0.549442,0.549554,0.549570,0.549534,0.549536,0.549644,0.549590,0.549601,0.549597,0.549685,0.549632,0.549639,0.549642,0.549625,0.549559,0.549555,0.549572,0.549593,0.549618,0.549575,0.549558,0.549559,0.549492,0.549517,0.549574,0.549498,0.549506,0.549618,0.549614,0.549548,0.549592,0.549581,0.549713,0.549638,0.549786,0.549779,0.549717,0.549779,0.549735,0.549705,0.549887,0.549822,0.549741,0.549640,0.549788,0.549560,0.549616,0.549641,0.549666,0.549581,0.549603,0.549637,0.549592,0.549534,0.549501,0.549436,0.549522,0.549647,0.549630,0.549698,0.549793,0.549579,0.549582,0.549685,0.549796,0.549826,0.549821,0.549824,0.549834,0.549765,0.549812,0.549867,0.549840,0.549799,0.550017,0.549930,0.550065,0.549850,0.549879,0.549964,0.549825,0.549887,0.549913,0.549892,0.549822,0.549917,0.549831,0.550085,0.550007,0.549903,0.550029,0.550058,0.550121,0.550169,0.550172,0.550191,0.550141,0.550234,0.550225,0.550380,0.550227,0.550348,0.550200,0.550244,0.550335,0.550313,0.550312,0.550228,0.550222,0.550242,0.550337,0.550325,0.550345,0.550318,0.550263,0.550219,0.550286,0.550206,0.550296,0.550074,0.550131,0.550142,0.550141,0.550173,0.550148,0.550115,0.550117,0.550122,0.550156,0.550025,0.550103,0.550132,0.550114,0.550127,0.550005,0.549987,0.549938,0.549882,0.549935,0.549800,0.549974,0.549971,0.549854,0.550045,0.549966,0.550006,0.549936,0.550041,0.549972,0.549933,0.550055,0.550005,0.549922,0.549843,0.549834,0.549754,0.549872,0.549919,0.550079,0.549944,0.550021,0.550008,0.549949,0.549906,0.549943,0.550011,0.549977,0.549955,0.549959,0.549956,0.549940,0.549980,0.549946,0.550073,0.550003,0.549963,0.550024,0.550021,0.550029,0.550045,0.550074,0.550039,0.550041,0.550054,0.550072,0.550101,0.550048,0.550031,0.550066,0.549986,0.550064,0.549995,0.550013,0.550029,0.550125,0.550145,0.550200,0.550164,0.550161,0.550134,0.550128,0.550121,0.550256"
